部屋番号,曜日,受付_30min,診療科名,初再診区分,件数
,0,00:00,アレルギー科,再診,4
,0,00:00,ソーシャルワーカー,再診,5
,0,00:00,メンタルケア科,再診,3
,0,00:00,リウマチ膠原病内科,再診,4
,0,00:00,一般消化器外科,再診,15
,0,00:00,中央処置室,再診,2
,0,00:00,乳腺外科,再診,24
,0,00:00,乳腺外科,初診,1
,0,00:00,呼吸器内科,再診,9
,0,00:00,外来手術室,再診,3
,0,00:00,小児科,再診,8
,0,00:00,形成外科,再診,3
,0,00:00,循環器内科,再診,4
,0,00:00,感染症,再診,1
,0,00:00,放射線治療科,再診,4
,0,00:00,整形外科,再診,16
,0,00:00,整形外科,初診,1
,0,00:00,歯科口腔外科,再診,4
,0,00:00,歯科口腔外科,初診,2
,0,00:00,泌尿器科,再診,34
,0,00:00,消化器内科,再診,16
,0,00:00,産婦人科,再診,24
,0,00:00,皮膚・排泄ケア,再診,10
,0,00:00,皮膚科,再診,11
,0,00:00,眼科,再診,14
,0,00:00,総合内科,再診,6
,0,00:00,総合内科,初診,1
,0,00:00,緩和ケアチーム,再診,1
,0,00:00,耳鼻咽喉科,再診,1
,0,00:00,脳神経内科,再診,5
,0,00:00,腎内科,再診,3
,0,00:00,臨床工学技師,再診,17
,0,00:00,薬剤部,再診,3
,0,00:00,血液内科,再診,7
,0,00:00,退院支援,再診,18
,0,00:00,骨転移カンファレンス,再診,8
,0,00:30,内科,初診,2
,0,00:30,呼吸器内科,再診,1
,0,00:30,救急科,初診,1
,0,01:00,内科,再診,1
,0,01:00,内科,初診,1
,0,03:00,救急科,初診,1
,0,05:00,内科,再診,2
,0,06:30,内科,再診,1
,0,06:30,歯科口腔外科,再診,1
,0,07:00,整形外科,再診,1
,0,07:00,脳神経内科,再診,2
,0,07:30,メンタルケア科,再診,1
,0,07:30,リウマチ膠原病内科,再診,2
,0,07:30,一般消化器外科,再診,1
,0,07:30,内科,再診,1
,0,07:30,内科,初診,1
,0,07:30,消化器内科,再診,1
,0,07:30,皮膚・排泄ケア,再診,2
,0,07:30,脳神経内科,再診,4
,0,08:00,PICCCVポートセンター,再診,2
,0,08:00,アレルギー科,再診,1
,0,08:00,ソーシャルワーカー,再診,1
,0,08:00,メンタルケア科,再診,2
,0,08:00,リウマチ膠原病内科,再診,23
,0,08:00,リウマチ膠原病内科,初診,1
,0,08:00,中央処置室,再診,8
,0,08:00,乳腺外科,再診,20
,0,08:00,乳腺外科,初診,1
,0,08:00,入退院支援センター,再診,8
,0,08:00,内科,再診,1
,0,08:00,内科,初診,1
,0,08:00,呼吸器内科,再診,16
,0,08:00,呼吸器内科,初診,1
,0,08:00,呼吸器外科,再診,2
,0,08:00,外来手術室,再診,32
,0,08:00,小児科,再診,2
,0,08:00,形成外科,再診,4
,0,08:00,循環器内科,再診,25
,0,08:00,心臓血管外科,再診,1
,0,08:00,放射線治療科,再診,19
,0,08:00,整形外科,再診,20
,0,08:00,整形外科,初診,1
,0,08:00,歯科口腔外科,再診,5
,0,08:00,歯科口腔外科,初診,2
,0,08:00,泌尿器科,再診,73
,0,08:00,消化器内科,再診,34
,0,08:00,産婦人科,再診,21
,0,08:00,皮膚科,再診,13
,0,08:00,眼科,再診,40
,0,08:00,総合内科,再診,31
,0,08:00,総合内科,初診,1
,0,08:00,耳鼻咽喉科,再診,12
,0,08:00,脳神経内科,再診,4
,0,08:00,脳神経外科,再診,1
,0,08:00,腎内科,再診,37
,0,08:00,臨床工学技師,再診,3
,0,08:00,臨床腫瘍科,再診,4
,0,08:00,薬剤部,再診,4
,0,08:00,血液内科,再診,35
,0,08:00,麻酔科,再診,6
,0,08:30,PICCCVポートセンター,再診,1
,0,08:30,メンタルケア科,再診,7
,0,08:30,リウマチ膠原病内科,再診,18
,0,08:30,リウマチ膠原病内科,初診,2
,0,08:30,一般消化器外科,再診,8
,0,08:30,中央処置室,再診,1
,0,08:30,乳腺外科,再診,19
,0,08:30,乳腺外科,初診,2
,0,08:30,入退院支援センター,再診,9
,0,08:30,呼吸器内科,再診,21
,0,08:30,呼吸器外科,再診,8
,0,08:30,外来手術室,再診,3
,0,08:30,小児科,再診,6
,0,08:30,形成外科,再診,15
,0,08:30,循環器内科,再診,43
,0,08:30,循環器内科,初診,6
,0,08:30,放射線治療科,再診,20
,0,08:30,救急科,初診,2
,0,08:30,整形外科,再診,22
,0,08:30,整形外科,初診,3
,0,08:30,歯科口腔外科,再診,23
,0,08:30,歯科口腔外科,初診,3
,0,08:30,泌尿器科,再診,69
,0,08:30,泌尿器科,初診,1
,0,08:30,消化器内科,再診,20
,0,08:30,消化器内科,初診,5
,0,08:30,産婦人科,再診,28
,0,08:30,産婦人科,初診,1
,0,08:30,皮膚科,再診,22
,0,08:30,皮膚科,初診,3
,0,08:30,眼科,再診,82
,0,08:30,眼科,初診,11
,0,08:30,糖尿病内分泌内科,再診,1
,0,08:30,糖尿病内分泌内科,初診,1
,0,08:30,総合内科,再診,25
,0,08:30,総合内科,初診,2
,0,08:30,耳鼻咽喉科,再診,19
,0,08:30,耳鼻咽喉科,初診,2
,0,08:30,脳神経内科,再診,11
,0,08:30,脳神経外科,再診,1
,0,08:30,脳神経外科,初診,2
,0,08:30,腎内科,再診,15
,0,08:30,臨床腫瘍科,再診,4
,0,08:30,血液内科,再診,21
,0,08:30,血液内科,初診,1
,0,08:30,退院支援,再診,1
,0,08:30,通院治療センター,再診,1
,0,08:30,麻酔科,再診,3
,0,09:00,PICCCVポートセンター,再診,2
,0,09:00,アレルギー科,再診,5
,0,09:00,メンタルケア科,再診,6
,0,09:00,リウマチ膠原病内科,再診,14
,0,09:00,一般消化器外科,再診,13
,0,09:00,中央処置室,再診,2
,0,09:00,乳腺外科,再診,28
,0,09:00,乳腺外科,初診,3
,0,09:00,入退院支援センター,再診,16
,0,09:00,呼吸器内科,再診,21
,0,09:00,呼吸器内科,初診,1
,0,09:00,呼吸器外科,再診,3
,0,09:00,外来手術室,再診,2
,0,09:00,小児科,再診,8
,0,09:00,小児科,初診,2
,0,09:00,形成外科,再診,15
,0,09:00,循環器内科,再診,27
,0,09:00,循環器内科,初診,4
,0,09:00,感染症,再診,1
,0,09:00,放射線治療科,再診,12
,0,09:00,放射線治療科,初診,1
,0,09:00,救急科,再診,1
,0,09:00,救急科,初診,2
,0,09:00,整形外科,再診,34
,0,09:00,整形外科,初診,5
,0,09:00,歯科口腔外科,再診,12
,0,09:00,歯科口腔外科,初診,3
,0,09:00,泌尿器科,再診,78
,0,09:00,泌尿器科,初診,2
,0,09:00,消化器内科,再診,26
,0,09:00,消化器内科,初診,7
,0,09:00,産婦人科,再診,33
,0,09:00,産婦人科,初診,5
,0,09:00,皮膚科,再診,18
,0,09:00,皮膚科,初診,5
,0,09:00,看護部,再診,1
,0,09:00,眼科,再診,39
,0,09:00,眼科,初診,12
,0,09:00,糖尿病内分泌内科,再診,1
,0,09:00,糖尿病内分泌内科,初診,1
,0,09:00,総合内科,再診,12
,0,09:00,総合内科,初診,6
,0,09:00,耳鼻咽喉科,再診,8
,0,09:00,耳鼻咽喉科,初診,2
,0,09:00,脳神経内科,再診,5
,0,09:00,脳神経内科,初診,1
,0,09:00,腎内科,再診,15
,0,09:00,腎内科,初診,1
,0,09:00,臨床腫瘍科,再診,4
,0,09:00,薬剤部,再診,1
,0,09:00,血液内科,再診,21
,0,09:00,通院治療センター,再診,1
,0,09:00,麻酔科,再診,7
,0,09:30,PICCCVポートセンター,再診,4
,0,09:30,アレルギー科,再診,7
,0,09:30,ソーシャルワーカー,再診,1
,0,09:30,メンタルケア科,再診,10
,0,09:30,リウマチ膠原病内科,再診,21
,0,09:30,一般消化器外科,再診,11
,0,09:30,中央処置室,再診,2
,0,09:30,乳腺外科,再診,23
,0,09:30,乳腺外科,初診,3
,0,09:30,入退院支援センター,再診,10
,0,09:30,呼吸器内科,再診,15
,0,09:30,呼吸器外科,再診,9
,0,09:30,外来手術室,再診,1
,0,09:30,小児科,再診,5
,0,09:30,小児科,初診,1
,0,09:30,形成外科,再診,15
,0,09:30,形成外科,初診,1
,0,09:30,循環器内科,再診,24
,0,09:30,循環器内科,初診,4
,0,09:30,放射線治療科,再診,15
,0,09:30,救急科,再診,4
,0,09:30,救急科,初診,2
,0,09:30,整形外科,再診,24
,0,09:30,整形外科,初診,6
,0,09:30,歯科口腔外科,再診,9
,0,09:30,歯科口腔外科,初診,8
,0,09:30,泌尿器科,再診,83
,0,09:30,泌尿器科,初診,4
,0,09:30,消化器内科,再診,34
,0,09:30,消化器内科,初診,1
,0,09:30,産婦人科,再診,43
,0,09:30,産婦人科,初診,4
,0,09:30,皮膚科,再診,24
,0,09:30,皮膚科,初診,2
,0,09:30,看護部,再診,1
,0,09:30,眼科,再診,40
,0,09:30,眼科,初診,6
,0,09:30,糖尿病内分泌内科,再診,1
,0,09:30,糖尿病内分泌内科,初診,2
,0,09:30,総合内科,再診,13
,0,09:30,総合内科,初診,8
,0,09:30,耳鼻咽喉科,再診,19
,0,09:30,耳鼻咽喉科,初診,3
,0,09:30,脳神経内科,再診,10
,0,09:30,脳神経内科,初診,1
,0,09:30,腎内科,再診,13
,0,09:30,腎内科,初診,1
,0,09:30,臨床腫瘍科,再診,3
,0,09:30,血液内科,再診,14
,0,09:30,血液内科,初診,1
,0,09:30,退院支援,再診,1
,0,09:30,麻酔科,再診,9
,0,10:00,アレルギー科,再診,4
,0,10:00,ソーシャルワーカー,再診,1
,0,10:00,メンタルケア科,再診,9
,0,10:00,リウマチ膠原病内科,再診,13
,0,10:00,一般消化器外科,再診,8
,0,10:00,中央処置室,再診,3
,0,10:00,乳腺外科,再診,9
,0,10:00,乳腺外科,初診,1
,0,10:00,入退院支援センター,再診,8
,0,10:00,呼吸器内科,再診,11
,0,10:00,呼吸器外科,再診,4
,0,10:00,呼吸器外科,初診,1
,0,10:00,外来手術室,再診,3
,0,10:00,小児科,再診,3
,0,10:00,形成外科,再診,8
,0,10:00,形成外科,初診,1
,0,10:00,循環器内科,再診,17
,0,10:00,循環器内科,初診,2
,0,10:00,放射線治療科,再診,22
,0,10:00,放射線治療科,初診,1
,0,10:00,救急科,再診,1
,0,10:00,救急科,初診,1
,0,10:00,整形外科,再診,25
,0,10:00,整形外科,初診,3
,0,10:00,歯科口腔外科,再診,14
,0,10:00,歯科口腔外科,初診,3
,0,10:00,泌尿器科,再診,45
,0,10:00,泌尿器科,初診,6
,0,10:00,消化器内科,再診,19
,0,10:00,消化器内科,初診,1
,0,10:00,産婦人科,再診,30
,0,10:00,皮膚科,再診,10
,0,10:00,皮膚科,初診,3
,0,10:00,看護部,再診,1
,0,10:00,眼科,再診,39
,0,10:00,眼科,初診,2
,0,10:00,糖尿病内分泌内科,再診,1
,0,10:00,総合内科,再診,15
,0,10:00,総合内科,初診,1
,0,10:00,耳鼻咽喉科,再診,18
,0,10:00,脳神経内科,再診,8
,0,10:00,脳神経内科,初診,1
,0,10:00,腎内科,再診,4
,0,10:00,臨床腫瘍科,再診,7
,0,10:00,薬剤部,再診,1
,0,10:00,血液内科,再診,11
,0,10:00,血液内科,初診,1
,0,10:00,退院支援,再診,1
,0,10:00,通院治療センター,再診,2
,0,10:30,PICCCVポートセンター,再診,2
,0,10:30,アレルギー科,再診,4
,0,10:30,ソーシャルワーカー,再診,1
,0,10:30,メンタルケア科,再診,11
,0,10:30,リウマチ膠原病内科,再診,3
,0,10:30,リウマチ膠原病内科,初診,1
,0,10:30,一般消化器外科,再診,6
,0,10:30,中央処置室,再診,4
,0,10:30,乳腺外科,再診,13
,0,10:30,乳腺外科,初診,2
,0,10:30,入退院支援センター,再診,11
,0,10:30,呼吸器内科,再診,5
,0,10:30,呼吸器外科,再診,3
,0,10:30,外来手術室,再診,4
,0,10:30,小児科,再診,1
,0,10:30,小児科,初診,2
,0,10:30,形成外科,再診,10
,0,10:30,循環器内科,再診,13
,0,10:30,循環器内科,初診,5
,0,10:30,放射線治療科,再診,5
,0,10:30,整形外科,再診,15
,0,10:30,整形外科,初診,4
,0,10:30,歯科口腔外科,再診,10
,0,10:30,歯科口腔外科,初診,4
,0,10:30,泌尿器科,再診,35
,0,10:30,泌尿器科,初診,3
,0,10:30,消化器内科,再診,20
,0,10:30,産婦人科,再診,27
,0,10:30,産婦人科,初診,2
,0,10:30,皮膚科,再診,16
,0,10:30,皮膚科,初診,1
,0,10:30,眼科,再診,39
,0,10:30,眼科,初診,1
,0,10:30,糖尿病内分泌内科,再診,3
,0,10:30,総合内科,再診,12
,0,10:30,総合内科,初診,1
,0,10:30,緩和ケアチーム,再診,1
,0,10:30,耳鼻咽喉科,再診,10
,0,10:30,耳鼻咽喉科,初診,2
,0,10:30,脳神経内科,再診,10
,0,10:30,脳神経内科,初診,3
,0,10:30,腎内科,再診,8
,0,10:30,臨床工学技師,再診,1
,0,10:30,臨床腫瘍科,再診,3
,0,10:30,血液内科,再診,15
,0,10:30,遺伝診療科,再診,1
,0,10:30,麻酔科,再診,8
,0,11:00,PICCCVポートセンター,再診,1
,0,11:00,ソーシャルワーカー,再診,1
,0,11:00,メンタルケア科,再診,6
,0,11:00,リウマチ膠原病内科,再診,1
,0,11:00,一般消化器外科,再診,4
,0,11:00,乳腺外科,再診,8
,0,11:00,乳腺外科,初診,1
,0,11:00,入退院支援センター,再診,5
,0,11:00,呼吸器内科,再診,1
,0,11:00,呼吸器外科,再診,2
,0,11:00,外来手術室,再診,1
,0,11:00,小児科,再診,8
,0,11:00,小児科,初診,1
,0,11:00,形成外科,再診,7
,0,11:00,循環器内科,再診,5
,0,11:00,循環器内科,初診,1
,0,11:00,放射線治療科,再診,8
,0,11:00,救急科,再診,1
,0,11:00,整形外科,再診,6
,0,11:00,整形外科,初診,4
,0,11:00,歯科口腔外科,再診,8
,0,11:00,歯科口腔外科,初診,1
,0,11:00,泌尿器科,再診,24
,0,11:00,消化器内科,再診,12
,0,11:00,消化器内科,初診,2
,0,11:00,産婦人科,再診,17
,0,11:00,皮膚科,再診,3
,0,11:00,皮膚科,初診,2
,0,11:00,眼科,再診,11
,0,11:00,糖尿病内分泌内科,再診,3
,0,11:00,総合内科,再診,4
,0,11:00,総合内科,初診,6
,0,11:00,耳鼻咽喉科,再診,8
,0,11:00,脳神経内科,再診,4
,0,11:00,脳神経内科,初診,1
,0,11:00,腎内科,再診,6
,0,11:00,臨床腫瘍科,再診,1
,0,11:00,血液内科,再診,6
,0,11:00,麻酔科,再診,3
,0,11:30,PICCCVポートセンター,再診,1
,0,11:30,ソーシャルワーカー,再診,2
,0,11:30,リウマチ膠原病内科,再診,1
,0,11:30,一般消化器外科,再診,8
,0,11:30,一般消化器外科,初診,2
,0,11:30,中央処置室,再診,2
,0,11:30,乳腺外科,再診,3
,0,11:30,入退院支援センター,再診,8
,0,11:30,呼吸器内科,再診,3
,0,11:30,呼吸器内科,初診,1
,0,11:30,呼吸器外科,再診,4
,0,11:30,外来手術室,再診,4
,0,11:30,形成外科,再診,1
,0,11:30,循環器内科,再診,2
,0,11:30,循環器内科,初診,3
,0,11:30,放射線治療科,再診,4
,0,11:30,救急科,再診,1
,0,11:30,整形外科,再診,5
,0,11:30,整形外科,初診,2
,0,11:30,歯科口腔外科,再診,8
,0,11:30,泌尿器科,再診,18
,0,11:30,泌尿器科,初診,1
,0,11:30,消化器内科,再診,9
,0,11:30,産婦人科,再診,9
,0,11:30,皮膚科,再診,1
,0,11:30,看護部,再診,1
,0,11:30,眼科,再診,15
,0,11:30,総合内科,再診,6
,0,11:30,総合内科,初診,2
,0,11:30,耳鼻咽喉科,再診,3
,0,11:30,耳鼻咽喉科,初診,1
,0,11:30,脳神経内科,再診,4
,0,11:30,脳神経内科,初診,1
,0,11:30,腎内科,再診,7
,0,11:30,血液内科,再診,5
,0,11:30,遺伝診療科,再診,1
,0,11:30,麻酔科,再診,3
,0,12:00,PICCCVポートセンター,再診,1
,0,12:00,ソーシャルワーカー,再診,2
,0,12:00,リウマチ膠原病内科,再診,1
,0,12:00,一般消化器外科,再診,7
,0,12:00,一般消化器外科,初診,1
,0,12:00,乳腺外科,再診,2
,0,12:00,入退院支援センター,再診,3
,0,12:00,呼吸器内科,再診,2
,0,12:00,呼吸器内科,初診,1
,0,12:00,呼吸器外科,再診,1
,0,12:00,外来手術室,再診,6
,0,12:00,小児科,初診,1
,0,12:00,形成外科,再診,1
,0,12:00,循環器内科,再診,5
,0,12:00,循環器内科,初診,1
,0,12:00,心臓血管外科,再診,1
,0,12:00,放射線治療科,再診,2
,0,12:00,救急科,初診,1
,0,12:00,整形外科,再診,4
,0,12:00,整形外科,初診,1
,0,12:00,歯科口腔外科,再診,2
,0,12:00,泌尿器科,再診,24
,0,12:00,消化器内科,再診,11
,0,12:00,消化器内科,初診,1
,0,12:00,産婦人科,再診,5
,0,12:00,皮膚科,再診,4
,0,12:00,眼科,再診,20
,0,12:00,総合内科,再診,7
,0,12:00,耳鼻咽喉科,再診,4
,0,12:00,腎内科,再診,4
,0,12:00,血液内科,再診,4
,0,12:00,麻酔科,再診,2
,0,12:30,がんゲノム,再診,1
,0,12:30,リウマチ膠原病内科,再診,1
,0,12:30,一般消化器外科,再診,6
,0,12:30,一般消化器外科,初診,1
,0,12:30,中央処置室,再診,1
,0,12:30,乳腺外科,再診,4
,0,12:30,入退院支援センター,再診,9
,0,12:30,内科,初診,1
,0,12:30,呼吸器内科,再診,12
,0,12:30,呼吸器内科,初診,1
,0,12:30,外来手術室,再診,6
,0,12:30,形成外科,再診,1
,0,12:30,循環器内科,再診,8
,0,12:30,放射線治療科,再診,8
,0,12:30,整形外科,再診,10
,0,12:30,整形外科,初診,2
,0,12:30,歯科口腔外科,再診,4
,0,12:30,泌尿器科,再診,25
,0,12:30,消化器内科,再診,12
,0,12:30,消化器内科,初診,2
,0,12:30,産婦人科,再診,18
,0,12:30,皮膚科,再診,4
,0,12:30,眼科,再診,22
,0,12:30,総合内科,再診,5
,0,12:30,耳鼻咽喉科,再診,3
,0,12:30,脳神経内科,再診,2
,0,12:30,腎内科,再診,6
,0,12:30,臨床工学技師,再診,4
,0,12:30,臨床腫瘍科,再診,2
,0,12:30,血液内科,再診,2
,0,12:30,骨転移カンファレンス,再診,2
,0,12:30,麻酔科,再診,3
,0,13:00,リウマチ膠原病内科,再診,2
,0,13:00,一般消化器外科,再診,8
,0,13:00,一般消化器外科,初診,2
,0,13:00,中央処置室,再診,2
,0,13:00,乳腺外科,再診,1
,0,13:00,入退院支援センター,再診,9
,0,13:00,呼吸器内科,再診,12
,0,13:00,外来手術室,再診,5
,0,13:00,小児科,再診,1
,0,13:00,形成外科,再診,1
,0,13:00,循環器内科,再診,12
,0,13:00,放射線治療科,再診,8
,0,13:00,救急科,再診,1
,0,13:00,救急科,初診,3
,0,13:00,整形外科,再診,3
,0,13:00,整形外科,初診,1
,0,13:00,歯科口腔外科,再診,5
,0,13:00,泌尿器科,再診,17
,0,13:00,消化器内科,再診,13
,0,13:00,産婦人科,再診,22
,0,13:00,皮膚科,再診,3
,0,13:00,看護部,再診,1
,0,13:00,眼科,再診,32
,0,13:00,眼科,初診,1
,0,13:00,総合内科,再診,6
,0,13:00,総合内科,初診,1
,0,13:00,耳鼻咽喉科,再診,1
,0,13:00,脳神経内科,再診,3
,0,13:00,腎内科,再診,6
,0,13:00,臨床工学技師,再診,2
,0,13:00,血液内科,再診,4
,0,13:00,通院治療センター,再診,2
,0,13:00,麻酔科,再診,4
,0,13:30,PICCCVポートセンター,再診,1
,0,13:30,がんゲノム,再診,1
,0,13:30,リウマチ膠原病内科,再診,1
,0,13:30,一般消化器外科,再診,4
,0,13:30,一般消化器外科,初診,2
,0,13:30,中央処置室,再診,1
,0,13:30,乳腺外科,再診,2
,0,13:30,入退院支援センター,再診,4
,0,13:30,呼吸器内科,再診,8
,0,13:30,外来手術室,再診,3
,0,13:30,小児科,再診,8
,0,13:30,小児科,初診,2
,0,13:30,形成外科,再診,4
,0,13:30,循環器内科,再診,5
,0,13:30,放射線治療科,再診,11
,0,13:30,救急科,再診,1
,0,13:30,整形外科,再診,6
,0,13:30,歯科口腔外科,再診,9
,0,13:30,泌尿器科,再診,14
,0,13:30,泌尿器科,初診,1
,0,13:30,消化器内科,再診,19
,0,13:30,産婦人科,再診,17
,0,13:30,皮膚科,再診,1
,0,13:30,看護部,再診,1
,0,13:30,眼科,再診,22
,0,13:30,総合内科,再診,5
,0,13:30,耳鼻咽喉科,再診,4
,0,13:30,脳神経内科,再診,2
,0,13:30,臨床腫瘍科,再診,1
,0,13:30,血液内科,再診,1
,0,13:30,通院治療センター,再診,2
,0,13:30,麻酔科,再診,3
,0,14:00,リウマチ膠原病内科,再診,1
,0,14:00,一般消化器外科,再診,6
,0,14:00,一般消化器外科,初診,2
,0,14:00,乳腺外科,再診,7
,0,14:00,入退院支援センター,再診,2
,0,14:00,呼吸器内科,再診,7
,0,14:00,呼吸器内科,初診,1
,0,14:00,呼吸器外科,再診,1
,0,14:00,外来手術室,再診,3
,0,14:00,小児科,再診,4
,0,14:00,小児科,初診,2
,0,14:00,形成外科,再診,4
,0,14:00,循環器内科,再診,8
,0,14:00,放射線治療科,再診,5
,0,14:00,救急科,初診,1
,0,14:00,整形外科,再診,9
,0,14:00,歯科口腔外科,再診,5
,0,14:00,泌尿器科,再診,17
,0,14:00,消化器内科,再診,12
,0,14:00,産婦人科,再診,8
,0,14:00,皮膚科,再診,2
,0,14:00,眼科,再診,20
,0,14:00,総合内科,再診,3
,0,14:00,耳鼻咽喉科,再診,6
,0,14:00,腎内科,再診,1
,0,14:00,血液内科,再診,1
,0,14:00,麻酔科,再診,1
,0,14:30,ソーシャルワーカー,再診,3
,0,14:30,リウマチ膠原病内科,再診,2
,0,14:30,一般消化器外科,再診,7
,0,14:30,中央処置室,再診,1
,0,14:30,乳腺外科,再診,3
,0,14:30,入退院支援センター,再診,3
,0,14:30,呼吸器内科,再診,2
,0,14:30,外来手術室,再診,1
,0,14:30,小児科,再診,3
,0,14:30,小児科,初診,1
,0,14:30,形成外科,再診,2
,0,14:30,循環器内科,再診,6
,0,14:30,放射線治療科,再診,6
,0,14:30,救急科,初診,1
,0,14:30,整形外科,再診,4
,0,14:30,歯科口腔外科,再診,3
,0,14:30,泌尿器科,再診,5
,0,14:30,泌尿器科,初診,1
,0,14:30,消化器内科,再診,4
,0,14:30,産婦人科,再診,6
,0,14:30,皮膚科,再診,1
,0,14:30,看護部,再診,1
,0,14:30,眼科,再診,16
,0,14:30,総合内科,再診,1
,0,14:30,耳鼻咽喉科,再診,4
,0,15:00,一般消化器外科,再診,5
,0,15:00,乳腺外科,再診,3
,0,15:00,外来手術室,再診,2
,0,15:00,小児科,再診,5
,0,15:00,小児科,初診,2
,0,15:00,形成外科,再診,1
,0,15:00,循環器内科,再診,4
,0,15:00,感染症,再診,1
,0,15:00,放射線治療科,再診,4
,0,15:00,救急科,初診,3
,0,15:00,整形外科,再診,3
,0,15:00,整形外科,初診,1
,0,15:00,歯科口腔外科,再診,2
,0,15:00,泌尿器科,再診,3
,0,15:00,消化器内科,再診,1
,0,15:00,産婦人科,再診,4
,0,15:00,皮膚科,再診,1
,0,15:00,看護部,再診,1
,0,15:00,眼科,再診,6
,0,15:00,総合内科,再診,2
,0,15:00,耳鼻咽喉科,再診,2
,0,15:00,脳神経内科,再診,1
,0,15:30,一般消化器外科,再診,1
